executed_at,platform,application,service,transaction_id,trade_uuid,type,amount,uti,caaj_from,caaj_to,comment
2022-09-10 15:02:20,osmosis,osmosis,osmosis,27314E325221A9FFDB551F278051E14E3C033472FC590D027D47D17FA7CBFBBE,0f155afc-105b-497b-827f-42d60a8664e8,receive,4.99675,ibc%2FC140AFD542AE77BD7DCC83F13FDD8C5E5BB8C4929785E6EC2F4C636F98F17901,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-09-10 15:08:08,osmosis,osmosis,liquidity,A4113DD72CBB083437645646DDAA4F7BD16DCCF89EE35523F0000A9EC56B61FC,72cc657b-420c-498e-a1bb-8b65ba8649a8,deposit,5.021191,atom,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1tg2k5rxex7zhzh3rcvmy6a2yfvw8446ezk7utz8j80vmkrpjve2qljc6hk,
2022-09-10 15:08:08,osmosis,osmosis,liquidity,A4113DD72CBB083437645646DDAA4F7BD16DCCF89EE35523F0000A9EC56B61FC,72cc657b-420c-498e-a1bb-8b65ba8649a8,deposit,4.99675,ibc%2FC140AFD542AE77BD7DCC83F13FDD8C5E5BB8C4929785E6EC2F4C636F98F17901,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1tg2k5rxex7zhzh3rcvmy6a2yfvw8446ezk7utz8j80vmkrpjve2qljc6hk,
2022-09-10 15:08:08,osmosis,osmosis,liquidity,A4113DD72CBB083437645646DDAA4F7BD16DCCF89EE35523F0000A9EC56B61FC,72cc657b-420c-498e-a1bb-8b65ba8649a8,get_bonds,5.00224348063877703,gamm%2Fpool%2F803,osmo1c9y7crgg6y9pfkq0y8mqzknqz84c3etr0kpcvj,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-09-10 15:08:08,osmosis,osmosis,osmosis,A4113DD72CBB083437645646DDAA4F7BD16DCCF89EE35523F0000A9EC56B61FC,,lose,0.006,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-09-10 15:08:35,osmosis,osmosis,staking,7025BF6A64F126600782B31DC3A62E5248D9C54E34E22D81ADA2E9E1ADE525AD,bbb1c155-c9b9-49de-8d31-ed025d8f57fd,deposit,5.00224348063877703,gamm%2Fpool%2F803,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1njty28rqtpw6n59sjj4esw76enp4mg6g7cwrhc,
2022-09-10 15:08:35,osmosis,osmosis,osmosis,7025BF6A64F126600782B31DC3A62E5248D9C54E34E22D81ADA2E9E1ADE525AD,,lose,0.01125,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-09-12 07:17:29,osmosis,osmosis,swap,9A45919B606E12FFAC43A42CDD439DDB13E36CE7ED0C7517186C4A6FF8C60174,eb5e0371-9a01-450f-93a8-e6a74701dc3c,lose,0.90903,ibc%2FA8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1x0ptme5tp8r2qw8gsypg3qftfwfpt2hdk4jyvp7gryywmg5l9fsqvhs8fk,
2022-09-12 07:17:29,osmosis,osmosis,swap,9A45919B606E12FFAC43A42CDD439DDB13E36CE7ED0C7517186C4A6FF8C60174,eb5e0371-9a01-450f-93a8-e6a74701dc3c,get,1.545449,osmo,osmo1x0ptme5tp8r2qw8gsypg3qftfwfpt2hdk4jyvp7gryywmg5l9fsqvhs8fk,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,

